County,Population (January 2023),Race/Ethnicity: American Indian (2023),Race/Ethnicity: Asian (2023),Race/Ethnicity: Black (2023),Race/Ethnicity: Hispanic (2023),Race/Ethnicity: Multi-Racial/Ethnic (2023),Race/Ethnicity: Hawaiian/ Pacific Island (2023),Race/Ethnicity: White (2023),Age: 0-5 (2023),Age: 6-17 (2023),Age: 18-64 (2023),Age: 65+ (2023),2021 All causes (total),2021 Alzheimer's disease,2021 Malignant neoplasms,2021 Chronic lower respiratory diseases,2021 Diabetes mellitus,2021 Assault (homicide),2021 Diseases of heart,2021 Essential hypertension and hypertensive renal disease,2021 Accidents (unintentional injuries),2021 Chronic liver disease and cirrhosis,"2021 Nephritis, nephrotic syndrome and nephrosis",2021 Parkinson's disease,2021 Influenza and pneumonia,2021 Cerebrovascular diseases,2021 Intentional self-harm (suicide)
Alameda,1636194,4089,541582,164053,364036,70157,13020,481109,105923,242834,984560,304729,11502.0,502.0,2277.0,365.0,376.0,147.0,2097.0,274.0,639.0,186.0,168.0,70.0,130.0,798.0,138.0
Alpine,1184,219,20,5,131,30,0,762,67,112,646,342,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
Amador,39837,593,626,1041,6183,1047,92,30506,1944,3669,21943,12532,449.0,9.0,46.0,9.0,7.0,2.0,47.0,6.0,11.0,7.0,6.0,3.0,5.0,10.0,9.0
Butte,205592,3259,10757,3442,38515,8041,460,143141,12809,27875,127554,39377,2664.0,52.0,449.0,84.0,22.0,8.0,468.0,9.0,247.0,12.0,11.0,12.0,12.0,45.0,12.0
Calaveras,44890,556,730,400,6321,1539,89,35109,2385,4603,22647,15109,430.0,11.0,12.0,10.0,6.0,6.0,52.0,6.0,9.0,8.0,3.0,4.0,2.0,10.0,7.0
Colusa,21771,291,282,158,13360,269,60,7550,307,350,279,14,98.0,8.0,12.0,5.0,6.0,0.0,12.0,1.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0
Contra Costa,1147653,3105,215654,98765,305190,49340,5535,466451,75683,167911,676298,224148,8761.0,571.0,1830.0,308.0,249.0,12.0,1548.0,160.0,479.0,137.0,55.0,108.0,12.0,673.0,49.0
Del Norte,26599,1862,1016,967,5052,945,30,16264,1366,3922,15077,5771,340.0,3.0,12.0,10.0,7.0,2.0,12.0,6.0,11.0,8.0,6.0,2.0,4.0,7.0,4.0
El Dorado,189006,1412,9619,1721,25868,6338,316,142857,10187,23678,104631,49635,1537.0,23.0,338.0,43.0,11.0,1.0,344.0,9.0,33.0,11.0,7.0,11.0,6.0,12.0,11.0
Fresno,1011499,5822,109886,46942,554720,20015,1562,276846,84650,190990,598471,141682,9792.0,548.0,1433.0,299.0,318.0,55.0,1836.0,229.0,587.0,245.0,124.0,56.0,59.0,462.0,22.0
Glenn,28636,468,741,229,12609,505,34,14174,2193,4773,16437,5357,199.0,6.0,12.0,9.0,4.0,2.0,12.0,2.0,8.0,4.0,1.0,1.0,1.0,5.0,2.0
Humboldt,134047,6975,3784,1679,17321,6638,386,97521,7719,18245,79957,28383,1489.0,11.0,286.0,12.0,11.0,5.0,304.0,10.0,34.0,12.0,7.0,9.0,5.0,166.0,11.0
Imperial,179476,1343,2117,4131,154215,1004,142,16838,16159,38941,95585,29105,1436.0,12.0,147.0,12.0,12.0,11.0,208.0,12.0,41.0,9.0,12.0,7.0,9.0,12.0,9.0
Inyo,18896,2012,265,169,4582,515,19,11339,1057,2550,10028,5266,192.0,2.0,12.0,8.0,5.0,0.0,10.0,3.0,12.0,5.0,2.0,2.0,1.0,6.0,5.0
Kern,907476,5309,44728,46510,509761,18003,1097,284704,76033,175455,539480,119144,8270.0,409.0,1087.0,410.0,388.0,99.0,1546.0,151.0,823.0,206.0,34.0,12.0,58.0,302.0,50.0
Kings,151018,1384,5776,9500,86302,3504,314,45560,13012,29792,89349,20187,1271.0,10.0,143.0,11.0,12.0,7.0,229.0,7.0,12.0,12.0,12.0,9.0,9.0,12.0,7.0
Lake,66800,1757,838,1144,16096,2393,178,44996,4441,9347,36271,17343,713.0,8.0,100.0,11.0,9.0,5.0,116.0,3.0,48.0,11.0,5.0,3.0,4.0,10.0,8.0
Lassen,28275,782,391,2274,5861,891,220,18144,1429,3422,17672,6040,237.0,1.0,12.0,6.0,3.0,3.0,12.0,1.0,11.0,1.0,2.0,3.0,4.0,4.0,8.0
Los Angeles,9761210,18288,1466206,774678,4764535,221454,21481,2483423,621712,1564996,5852868,1710489,83663.0,4573.0,14501.0,2616.0,3528.0,887.0,17408.0,1843.0,4608.0,1981.0,1574.0,891.0,1778.0,4014.0,828.0
Madera,158148,1603,3528,4731,95416,2609,193,50196,12674,28544,91028,26030,1151.0,12.0,145.0,12.0,12.0,7.0,211.0,11.0,37.0,12.0,9.0,5.0,9.0,12.0,8.0
Marin,252959,484,16825,5983,42278,8818,433,176987,13052,31703,133241,73812,2223.0,114.0,485.0,23.0,12.0,4.0,433.0,9.0,83.0,10.0,9.0,12.0,10.0,127.0,12.0
Mariposa,16935,454,255,178,2331,507,29,13234,878,1850,8287,5973,133.0,3.0,11.0,5.0,2.0,2.0,12.0,1.0,9.0,2.0,2.0,2.0,1.0,3.0,9.0
